Name,Info,Image_URL,Category,user_id
Neha Kakkar,Neha Kakkar (born 6 June 1988) is an Indian singer.,https://upload.wikimedia.org/wikipedia/commons/5/53/Neha_Kakkar_Birthday_Bash.jpg,Music,0
Shreya Ghoshal,"Shreya Ghoshal (born 12 March 1984) is an Indian singer, composer and music producer.",https://upload.wikimedia.org/wikipedia/commons/b/bd/Shreya_Ghoshal_at_Filmfare_Awards_South.jpg,Music,1
Armaan Malik,"Armaan Malik (born 22 July 1995) is an Indian singer, songwriter and an actor.",https://upload.wikimedia.org/wikipedia/commons/1/15/Armaan_Malik_2016.jpg,Music,2
Justin Bieber,"Justin Drew Bieber (; born March 1, 1994) is a Canadian singer, songwriter, and actor.",https://upload.wikimedia.org/wikipedia/commons/4/40/Justin_Bieber_in_2019_%28crop%29.jpg,Music,3
Lady Gaga,"Stefani Joanne Angelina Germanotta ( STEF-ən-ee JUR-mə-NOT-ə) (born March 28, 1986), known professionally as Lady Gaga, is an American singer, songwriter, record producer, actress, and businesswoman.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Lady_Gaga_interview_2016.jpg,Music,4
Ariana Grande,"Ariana Grande-Butera (; born June 26, 1993) is an American singer, songwriter, and actress.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Ariana_Grande_Grammys_Red_Carpet_2020.png,Music,5
Edward Christopher Sheeran,"Edward Christopher Sheeran,  (; born 17 February 1991) is an English singer, songwriter, record producer, and actor.",https://upload.wikimedia.org/wikipedia/commons/c/c1/Ed_Sheeran-6886_%28cropped%29.jpg,Music,6
Taylor Alison Swift,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter.",https://upload.wikimedia.org/wikipedia/commons/b/b5/191125_Taylor_Swift_at_the_2019_American_Music_Awards_%28cropped%29.png,Music,7
Jennifer Lopez,"Jennifer Lynn Lopez (born July 24, 1969), also known by her nickname J.Lo, is an American actress, singer, dancer, fashion designer, producer, and businesswoman.",https://upload.wikimedia.org/wikipedia/commons/b/b4/TIFF_2019_jlo_%281_of_1%29-2_%2848696671561%29_%28cropped%29.jpg,Music,8
Katy Perry,"Katheryn Elizabeth Hudson (born October 25, 1984), known by her stage name Katy Perry, is an American singer, songwriter and television judge.",https://upload.wikimedia.org/wikipedia/commons/9/92/Katy_Perry_2019_by_Glenn_Francis_%28cropped%29.jpg,Music,9
Shahid Kapoor,"Shahid Kapoor (pronounced [ʃaːɦɪd̪ kəˈpuːr]; born 25 February 1981), is an Indian actor who appears in Hindi films.",https://upload.wikimedia.org/wikipedia/commons/b/bd/Shahid%2C_Alia%2C_and_Katrina_at_IIFA_2017_%28cropped%29.jpg,Movies,10
Salman Khan,"Abdul Rashid Salim Salman Khan (pronounced [səlˈmaːn ˈxaːn]; Hindi: pronunciation ; 27 December 1965) is an Indian film actor, producer, occasional singer and television personality.",https://upload.wikimedia.org/wikipedia/commons/8/81/Salman_Khan_filmfare.jpg,Movies,11
Yash,"Naveen Kumar Gowda, known by his stage name as Yash, is an Indian film actor from Kannada cinema.",https://upload.wikimedia.org/wikipedia/commons/3/3e/Yash_kgf_event.jpg,Movies,12
Amitabh Bachchan,"Amitabh Bachchan (pronounced [əmɪˈtaːbʱ ˈbətʃːən]; born Inquilaab Srivastava; 11 October 1942) is an Indian film actor, film producer, television host, occasional playback singer and former politician.",https://upload.wikimedia.org/wikipedia/commons/c/c6/Indian_actor_Amitabh_Bachchan.jpg,Movies,13
Priyanka Chopra,Priyanka Chopra Jonas (pronounced [prɪˈjəŋkaː ˈtʃoːpɽaː]; born 18 July 1982) is an Indian actress and singer.,https://upload.wikimedia.org/wikipedia/commons/6/6c/Priyanka-chopra-gesf-2018-7565.jpg,Movies,14
