Neha Kakkar,"Neha Kakkar (born 6 June 1988) is an Indian singer. She began performing at religious events at the age of four and participated in the second season of the singing reality show, Indian Idol, in which she was eliminated early.",https://upload.wikimedia.org/wikipedia/commons/5/53/Neha_Kakkar_Birthday_Bash.jpg,Music,0
Shreya Ghoshal,"Shreya Ghoshal (born 12 March 1984) is an Indian singer, composer and music producer. She has received four National Film Awards, four Kerala State Film Awards, two Tamil Nadu State Film Awards, seven Filmfare Awards including six for Best Female Playback Singer and ten Filmfare Awards South.",https://upload.wikimedia.org/wikipedia/commons/b/bd/Shreya_Ghoshal_at_Filmfare_Awards_South.jpg,Music,1
Armaan Malik,"Armaan Malik (born 22 July 1995) is an Indian singer, songwriter and an actor. He is known for his singing in Hindi, Telugu, Kannada, Tamil, Bengali, Gujarati & Marathi.",https://upload.wikimedia.org/wikipedia/commons/1/15/Armaan_Malik_2016.jpg,Music,2
Justin Bieber,"Justin Drew Bieber (; born March 1, 1994) is a Canadian singer, songwriter, and actor. Discovered at 13 years old by talent manager Scooter Braun after he had watched his YouTube cover song videos, Bieber was signed to RBMG Records in 2008.",https://upload.wikimedia.org/wikipedia/commons/4/40/Justin_Bieber_in_2019_%28crop%29.jpg,Music,3
Lady Gaga,"Stefani Joanne Angelina Germanotta ( STEF-ən-ee JUR-mə-NOT-ə) (born March 28, 1986), known professionally as Lady Gaga, is an American singer, songwriter, record producer, actress, and businesswoman. She is known for reinventing herself throughout her career and for her versatility in numerous areas of the entertainment industry.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Lady_Gaga_interview_2016.jpg,Music,4
Ariana Grande,"Ariana Grande-Butera (; born June 26, 1993) is an American singer, songwriter, and actress. A prominent figure in popular music, Grande is known for her four-octave vocal range and the use of the whistle register.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Ariana_Grande_Grammys_Red_Carpet_2020.png,Music,5
Edward Christopher Sheeran,"Edward Christopher Sheeran,  (; born 17 February 1991) is an English singer, songwriter, record producer, and actor. In early 2011, Sheeran independently released the extended play, No.",https://upload.wikimedia.org/wikipedia/commons/c/c1/Ed_Sheeran-6886_%28cropped%29.jpg,Music,6
Taylor Alison Swift,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. She is best known for her narrative songwriting that often centers around her personal life and has received widespread critical praise and media coverage.",https://upload.wikimedia.org/wikipedia/commons/b/b5/191125_Taylor_Swift_at_the_2019_American_Music_Awards_%28cropped%29.png,Music,7
Jennifer Lopez,"Jennifer Lynn Lopez (born July 24, 1969), also known by her nickname J.Lo, is an American actress, singer, dancer, fashion designer, producer, and businesswoman. In 1991, Lopez began appearing as a Fly Girl dancer on In Living Color, where she remained a regular until she decided to pursue an acting career in 1993.",https://upload.wikimedia.org/wikipedia/commons/b/b4/TIFF_2019_jlo_%281_of_1%29-2_%2848696671561%29_%28cropped%29.jpg,Music,8
Katy Perry,"Katheryn Elizabeth Hudson (born October 25, 1984), known by her stage name Katy Perry, is an American singer, songwriter and television judge. After singing in church during her childhood, she pursued a career in gospel music as a teenager.",https://upload.wikimedia.org/wikipedia/commons/9/92/Katy_Perry_2019_by_Glenn_Francis_%28cropped%29.jpg,Music,9
Shahid Kapoor,"Shahid Kapoor (pronounced [ʃaːɦɪd̪ kəˈpuːr]; born 25 February 1981), is an Indian actor who appears in Hindi films. Initially recognised for portraying romantic roles, he has since taken on parts in action films and thrillers, and is the recipient of several awards, including three Filmfare Awards.",https://upload.wikimedia.org/wikipedia/commons/b/bd/Shahid%2C_Alia%2C_and_Katrina_at_IIFA_2017_%28cropped%29.jpg,Movies,10
Salman Khan,"Abdul Rashid Salim Salman Khan (pronounced [səlˈmaːn ˈxaːn]; Hindi: pronunciation ; 27 December 1965) is an Indian film actor, producer, occasional singer and television personality. In a film career spanning over thirty years, Khan has received numerous awards, including two National Film Awards as a film producer, and two Filmfare Awards for acting.",https://upload.wikimedia.org/wikipedia/commons/8/81/Salman_Khan_filmfare.jpg,Movies,11
Yash,"Naveen Kumar Gowda, known by his stage name as Yash, is an Indian film actor from Kannada cinema. He is known for his roles in the movies Rajadhani, Mr.",https://upload.wikimedia.org/wikipedia/commons/3/3e/Yash_kgf_event.jpg,Movies,12
Amitabh Bachchan,"Amitabh Bachchan (pronounced [əmɪˈtaːbʱ ˈbətʃːən]; born Inquilaab Srivastava; 11 October 1942) is an Indian film actor, film producer, television host, occasional playback singer and former politician. He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed India's ""angry young man"" for his on-screen roles in Bollywood.",https://upload.wikimedia.org/wikipedia/commons/c/c6/Indian_actor_Amitabh_Bachchan.jpg,Movies,13
Priyanka Chopra,"Priyanka Chopra Jonas (pronounced [prɪˈjəŋkaː ˈtʃoːpɽaː]; born 18 July 1982) is an Indian actress and singer. She was the winner of the Miss World 2000 pageant, and is one of India's highest-paid and most popular entertainers.",https://upload.wikimedia.org/wikipedia/commons/6/6c/Priyanka-chopra-gesf-2018-7565.jpg,Movies,14
Akshay Kumar,"Rajiv Hari Om Bhatia (born 9 September 1967), known professionally as Akshay Kumar, is an India-born naturalized Canadian actor, producer, martial artist and television personality who works in Bollywood films. In a career spanning over 29 years, Kumar has appeared in over 100 films and has won several awards, including the National Film Award for Best Actor for his performance in Rustom (2016), and two Filmfare Awards for Ajnabee (2001) and Garam Masala (2005).",https://upload.wikimedia.org/wikipedia/commons/2/2e/Akshay_Kumar.jpg,Movies,15
Deepika Padukone,"Deepika Padukone (pronounced [d̪iːpɪkaː pəɖʊkoːɳeː] or [paːɖʊkoːɳ]; born 5 January 1986) is an Indian film actress and producer. One of the highest-paid actresses in India, her accolades include three Filmfare Awards.",https://upload.wikimedia.org/wikipedia/commons/b/b6/Deepika_Padukone_Cannes_2018_%28cropped%29.jpg,Movies,16
Dwayne Johnson,"Dwayne Douglas Johnson (born May 2, 1972), also known by his ring name The Rock, is an American-Canadian actor, producer, businessman, retired professional wrestler, and former American football player. He wrestled for the World Wrestling Federation (WWF, now WWE) for eight years prior to pursuing an acting career.",https://upload.wikimedia.org/wikipedia/commons/f/f1/Dwayne_Johnson_2%2C_2013.jpg,Movies,17
Vin diesel,"Mark Sinclair (born July 18, 1967), known professionally as Vin Diesel, is an American actor, producer, director, and screenwriter. He is best known for playing Dominic Toretto in the Fast & Furious franchise, and is one of the highest-grossing actors of all time.",https://upload.wikimedia.org/wikipedia/commons/8/83/Vin_Diesel_by_Gage_Skidmore_2.jpg,Movies,18
Angelina Jolie,"Angelina Jolie (; née Voight, formerly Jolie Pitt, born June 4, 1975) is an American actress, filmmaker, and humanitarian. The recipient of numerous accolades, including an Academy Award and three Golden Globe Awards, she has been named Hollywood's highest-paid actress multiple times.",https://upload.wikimedia.org/wikipedia/commons/a/ad/Angelina_Jolie_2_June_2014_%28cropped%29.jpg,Movies,19
Gordon Ramsay,"Gordon James Ramsay  (born 8 November 1966) is a British chef, restaurateur, writer and television personality. He was born in Johnstone, Scotland, and raised in Stratford-upon-Avon, England.",https://upload.wikimedia.org/wikipedia/commons/0/02/Gordon_Ramsay_colour_Allan_Warren.jpg,Food,20
George Calombaris,George Dimitrios Calombaris (born 4 October 1978) is an Australian chef and restaurateur. Calombaris was one of the judges of the Network 10 series MasterChef Australia from 2009 to 2019.,https://upload.wikimedia.org/wikipedia/commons/5/55/George_Calombaris%2C_Matt_Preston_and_Gary_Mehigan_2016_TV_Week_Logie_Awards_%2826907450025%29.jpg,Food,21
Matt Preston,"Matt Preston is an English-born Australian food critic, food journalist and recipe writer. He is best known for his role as a judge on Network Ten's MasterChef Australia and his weekly national food column appears in NewsCorp's metro newspapers, with a combined reach of over 2.9 million Australians each week.",https://upload.wikimedia.org/wikipedia/commons/8/82/MasterChef_S9_Matt_Preston_%282%29.jpg,Food,22
